model,dataset,epochs,layers,lambd,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.5,False,0.8058000326156616
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.5,False,0.813800036907196
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.1,False,0.79140003323555
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.1,False,0.7936000406742096
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.1,False,0.7912000477313995
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.1,False,0.8092000365257264
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.1,False,0.8160000383853913
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.1,False,0.8068000376224518
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.1,False,0.7866000354290008
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.1,False,0.795000034570694
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.1,False,0.7870000422000885
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.1,False,0.8102000296115875
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.1,False,0.8120000302791596
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.1,False,0.8088000416755676
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.2,False,0.7898000359535218
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.2,False,0.7984000384807587
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.2,False,0.7944000363349915
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.2,False,0.8086000263690949
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.2,False,0.8170000433921814
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.2,False,0.8150000393390655
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.2,False,0.7886000394821167
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.2,False,0.7958000421524047
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.2,False,0.7892000436782837
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.2,False,0.8032000482082366
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.2,False,0.8182000458240509
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.2,False,0.8166000366210937
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.3,False,0.7756000399589539
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.3,False,0.7956000506877899
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.3,False,0.7940000414848327
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.3,False,0.8044000327587127
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.3,False,0.8126000344753266
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.3,False,0.812600028514862
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.3,False,0.769400030374527
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.3,False,0.7896000385284424
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.3,False,0.793200033903122
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.3,False,0.7990000307559967
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.3,False,0.8158000349998474
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.3,False,0.8114000380039215
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.4,False,0.7604000389575958
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.4,False,0.789600032567978
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.4,False,0.7968000292778015
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.4,False,0.8014000356197357
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.4,False,0.8110000431537628
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.4,False,0.8152000367641449
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.4,False,0.7662000298500061
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.4,False,0.7934000313282012
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.4,False,0.7920000374317169
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.4,False,0.7978000342845917
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.4,False,0.8106000423431396
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.4,False,0.8152000486850739
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.5,False,0.7482000350952148
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.5,False,0.7790000438690186
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.3,0.5,False,0.7900000393390656
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.5,False,0.7902000427246094
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.5,False,0.8062000334262848
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.3,0.5,False,0.8188000440597534
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.5,False,0.7564000368118287
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.5,False,0.7834000408649444
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.3,0.5,False,0.7862000405788422
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.5,False,0.7910000383853912
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.5,False,0.8098000347614288
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.3,0.5,False,0.8118000388145447
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.1,False,0.7910000324249268
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.1,False,0.7964000403881073
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.1,False,0.7912000358104706
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.1,False,0.8152000367641449
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.1,False,0.8170000314712524
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.1,False,0.8100000441074371
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.1,False,0.7938000440597535
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.1,False,0.7986000299453735
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.1,False,0.7900000393390656
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.1,False,0.80840003490448
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.1,False,0.8144000411033631
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.1,False,0.8032000422477722
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.2,False,0.7822000443935394
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.2,False,0.7994000375270843
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.2,False,0.7922000408172607
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.2,False,0.8104000329971314
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.2,False,0.8160000383853913
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.2,False,0.8126000225543976
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.2,False,0.7816000342369079
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.2,False,0.7946000397205353
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.2,False,0.7904000341892242
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.2,False,0.8064000368118286
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.2,False,0.8148000299930572
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.2,False,0.813800036907196
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.3,False,0.7678000330924988
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.3,False,0.7990000367164611
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.3,False,0.7948000311851502
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.3,False,0.7978000462055206
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.3,False,0.813200044631958
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.3,False,0.8138000309467316
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.3,False,0.7732000410556793
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.3,False,0.799200028181076
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.3,False,0.7948000252246856
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.3,False,0.8026000380516052
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.3,False,0.8122000396251678
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.3,False,0.8130000412464142
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.4,False,0.7590000331401825
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.4,False,0.7928000390529633
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.4,False,0.7942000448703765
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.4,False,0.7902000486850739
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.4,False,0.8150000274181366
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.4,False,0.8174000382423401
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.4,False,0.7568000435829163
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.4,False,0.7918000400066376
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.4,False,0.7960000336170197
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.4,False,0.7980000495910644
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.4,False,0.8098000347614288
